id,status,created_time,response_time,hops,responses
7650,200,76.263000,0.026693,[i56-f8],[0.026693]
7652,200,76.280000,0.018763,[i63-f15],[0.018763]
7653,200,76.291000,0.022569,[i56-f8],[0.022569]
7654,200,76.300000,0.018713,[i63-f15],[0.018713]
7655,200,76.310000,0.026933,[i45-f13],[0.026933]
7656,200,76.325000,0.022721,[i63-f15],[0.022721]
7657,200,76.335000,0.018737,[i56-f8],[0.018737]
7659,200,76.354000,0.010593,[i56-f8],[0.010593]
7658,200,76.342000,0.026918,[i45-f13],[0.026918]
7660,200,76.363000,0.014718,[i63-f15],[0.014718]
7662,200,76.378000,0.010970,[i63-f15],[0.01097]
7661,200,76.372000,0.018999,[i45-f13],[0.018999]
7663,200,76.384000,0.027006,[i56-f8],[0.027006]
7664,200,76.391000,0.022982,[i45-f13],[0.022982]
7666,200,76.405000,0.018993,[i61-f13],[0.018993]
7665,200,76.399000,0.026807,[i63-f15],[0.026807]
7668,200,76.419000,0.010806,[i45-f13],[0.010806]
7667,200,76.411000,0.022690,[i58-f10],[0.02269]
7669,200,76.429000,0.018764,[i63-f15],[0.018764]
7670,200,76.435000,0.014619,[i58-f10],[0.014619]
7672,200,76.453000,0.010469,[i58-f10],[0.010469]
7671,200,76.442000,0.023305,[i45-f13],[0.023305]
7673,200,76.466000,0.011047,[i45-f13],[0.011047]
7674,200,76.476000,0.018662,[i58-f10],[0.018662]
7675,200,76.481000,0.022873,[i45-f13],[0.022873]
7676,200,76.487000,0.018771,[i63-f15],[0.018771]
7677,200,76.497000,0.018903,[i58-f10],[0.018903]
7678,200,76.505000,0.015120,[i45-f13],[0.01512]
7680,200,76.532000,0.015192,[i58-f10],[0.015192]
7679,200,76.521000,0.026875,[i45-f13],[0.026875]
7681,200,76.546000,0.014756,[i63-f15],[0.014756]
7682,200,76.562000,0.026604,[i63-f15],[0.026604]
7683,200,76.571000,0.022945,[i45-f13],[0.022945]
7684,200,76.581000,0.026715,[i58-f10],[0.026715]
7685,200,76.590000,0.022932,[i63-f15],[0.022932]
7686,200,76.608000,0.018740,[i58-f10],[0.01874]
7687,200,76.621000,0.019095,[i63-f15],[0.019095]
7688,200,76.630000,0.026455,[i58-f10],[0.026455]
7689,200,76.647000,0.026913,[i63-f15],[0.026913]
7690,200,76.660000,0.018681,[i58-f10],[0.018681]
7691,200,76.669000,0.019509,[i45-f13],[0.019509]
7692,200,76.677000,0.026851,[i63-f15],[0.026851]
7693,200,76.686000,0.026538,[i58-f10],[0.026538]
7695,200,76.699000,0.018780,[i61-f13],[0.01878]
7694,200,76.691000,0.026800,[i45-f13],[0.0268]
7697,200,76.714000,0.010905,[i58-f10],[0.010905]
7696,200,76.710000,0.022690,[i63-f15],[0.02269]
7698,200,76.722000,0.026740,[i45-f13],[0.02674]
7699,200,76.727000,0.022831,[i58-f10],[0.022831]
7700,200,76.740000,0.014637,[i63-f15],[0.014637]
7701,200,76.746000,0.014795,[i61-f13],[0.014795]
7702,200,76.754000,0.018660,[i58-f10],[0.01866]
